perturbation_pct,height_factor,mean_score,std_score,median_score,p25_score,p75_score,hp_count,hp_fraction
-30,0.7,43.578589745619674,6.669943190290744,43.43201247163823,40.21293065651635,46.48629946095423,5960,0.31609652612039246
-20,0.8,43.70196363610378,6.671653214855482,43.55451579358589,40.333793535389376,46.6094703557353,6132,0.32521877486077966
-10,0.9,43.802165776239654,6.6729231460055,43.65407645419438,40.4349946390725,46.70979965283678,6281,0.3331211880137894
0,1.0,43.88518496157016,6.673896900941648,43.7366074647112,40.51588520651468,46.79269175467884,6409,0.33990983823919385
10,1.1,43.955104292024856,6.6746632015718985,43.806145402993764,40.58542314479725,46.86222969296141,6508,0.34516043489790504
20,1.2,44.01480508909209,6.67527935448177,43.86558180271928,40.644819411255185,46.92162595941934,6599,0.3499867409175285
30,1.3,44.066379642508785,6.675783825313063,43.916908688999925,40.69622366706511,46.972952845699986,6680,0.35428268363829224
