quantile,threshold_score,hp_building_count,hp_building_fraction,grids_with_hp_ratio_gt0,mean_grid_hp_ratio,median_grid_hp_ratio,std_grid_hp_ratio
0.5,43.7366074647112,9428,0.500026518164943,630,0.5958107874550662,0.6,0.2988916006626267
0.55,44.24910931022587,8485,0.4500132590824715,627,0.5520834889456878,0.5454545454545454,0.30409221414551213
0.6,44.77536846599826,7542,0.4,621,0.5050782555372746,0.4878048780487805,0.3078887206182975
0.66,45.51261227233157,6411,0.34001591089896577,612,0.4503638975240061,0.41025641025641024,0.313114609396834
0.7,46.031683173452,5657,0.30002651816494297,597,0.4062508788266351,0.3333333333333333,0.3136420530977555
0.75,46.79269175467884,4714,0.2500132590824715,582,0.3565304135936986,0.26666666666666666,0.31076444454351543
0.8,47.82446046774272,3771,0.2,560,0.3032766570026954,0.2,0.3030701838176132
