grid_size_m,total_grids,occupied_grids,occupancy_rate,mean_score_mean,mean_score_std,mean_score_p25,mean_score_median,mean_score_p75,hp_ratio_mean,hp_ratio_std,hp_ratio_p25,hp_ratio_median,hp_ratio_p75
250,6723,1979,0.29436263572809757,46.20721555640583,6.476121872749494,42.857878878696866,45.07846674473331,48.53634466178082,0.4709704818678857,0.3647450269473228,0.14285714285714285,0.4166666666666667,0.8
500,1722,671,0.3896631823461092,45.79926551790182,6.114843177456188,43.007099900639915,44.87982816281576,48.024222375242566,0.4503638975240061,0.313114609396834,0.2,0.41025641025641024,0.6726190476190477
750,756,375,0.49603174603174605,45.72545374851866,5.233118435579442,43.00007457890022,45.09209255790654,48.03055758157576,0.4509169233017688,0.29292726031950145,0.21621621621621623,0.4166666666666667,0.6666666666666666
1000,441,194,0.4399092970521542,44.343096302625995,5.597596027506282,42.94174277062409,44.73305692687747,47.05679818879457,0.3984623860711198,0.24378218601595802,0.21778846153846154,0.3738117870722434,0.5533333333333333
