footprint_area_m2,deployable_area_m2,annual_kwh,annual_co2_t,solar_potential_score,solar_potential_class,building_category,height_proxy_m
1293.714207190899,840.9142346740845,161969.64783856232,92.37129016233209,53.596329182685054,high,commercial,10.5
2389.744466398402,1553.3339031589614,299189.78047489835,170.62793180483453,57.474312289410165,high,commercial,10.5
1371.7967165451732,891.6678657543627,171745.3745579311,97.94638711038812,48.02628178843698,high,residential,9.0
5345.280522076875,3474.432339349969,669215.1937010965,381.6534249677353,62.56303056922988,high,commercial,10.5
5345.280522076875,3474.432339349969,669215.1937010965,381.6534249677353,62.56303056922988,high,commercial,10.5
3606.2339613608738,2344.052074884568,451491.09555917163,257.4853717973956,60.07518828901619,high,commercial,10.5
2892.697098692687,1880.2531141502468,362158.1395447641,206.53878698237898,58.68156157408233,high,commercial,10.5
1408.3647859016785,915.437110836091,176323.60155960402,100.55734996944217,48.17739570607776,high,residential,9.0
2451.675694710706,1593.589201561959,306943.40889159025,175.04982609087392,57.6360210925185,high,commercial,10.5
1723.1743453678903,1120.0633244891287,215736.93813698558,123.03477581952288,49.33628008059914,high,residential,9.0
1324.3204231482853,860.8082750463855,165801.46632887077,94.556576247355,47.82397027861314,high,residential,9.0
2630.0567162418556,1709.5368655572063,329276.2479977005,187.78624423308864,58.07993294256137,high,commercial,10.5
1704.4300160874584,1107.879510456848,213390.19695129988,121.69642932132633,47.700757437180776,high,commercial,3.5
2590.18048237069,1683.6173135409483,324283.8474185455,184.93907818279652,57.98336823601654,high,commercial,10.5
1232.132362760468,800.8860357943041,154259.76137352615,87.97434191132197,53.28819465734528,high,commercial,10.5
2738.6663429742894,1780.1331229332882,342873.8902713578,195.54097962175535,58.335701537900455,high,commercial,10.5
3727.0284412383994,2422.56848680496,466614.2496977411,266.1101066026218,51.75048061247088,high,mixed_unknown,10.0
5830.959233958579,3790.1235020730765,730020.9029442342,416.33092094909676,63.11282659888815,high,commercial,10.5
12220.07901836072,7943.051361934468,1529922.0524608719,872.5145465184353,60.593580540447626,high,residential,9.0
4953.079535008355,3219.501697755431,620112.6520390097,353.65024545784723,55.403263573688776,high,residential,9.0
2183.5570764370746,1419.3120996840985,273375.6564936034,155.90613689830204,50.69667009069987,high,residential,9.0
1376.0766279176023,894.4498081464416,172281.20831002214,98.25197309920563,48.044174748547334,high,residential,9.0
37156.41151886831,24151.667487264403,4651885.907416458,2652.9705329996063,64.30632527077074,high,mixed_unknown,10.0
2452.9877222956216,1594.442019492154,307107.67132660263,175.1435049575615,57.639402590654655,high,commercial,10.5
829.195418711584,538.9770221625296,103813.10587110731,59.2046142782925,50.97001911791963,high,residential,21.0
2475.418094039129,1609.0217611254338,309915.89542431314,176.7450351604858,51.41749146043776,high,residential,9.0
13267.390087033264,8623.803556571622,1661042.669384954,947.2926343502393,91.59936996767078,high,commercial,200.0
860.5219603035313,559.3392741972954,107735.10725398237,61.44133166694615,51.18292813113947,high,residential,21.0
874.3241107893313,568.3106720130653,109463.1005319212,62.42680623335466,51.27428776034429,high,residential,21.0
5699.53302450123,3704.6964659257997,713566.6839643054,406.9470798648434,54.06955851672286,high,mixed_unknown,10.0
2168.0133247821605,1409.2086611084044,271429.61928720743,154.7963118794944,50.6556239923946,high,residential,9.0
19853.44999850618,12904.742499029018,2485600.209663658,1417.5377995711842,63.382972531531344,high,residential,9.0
2152.042454947627,1398.8275957159576,269430.1079976223,153.65599059104397,50.613142483126396,high,residential,9.0
8194.111672094055,5326.172586861137,1025881.430768803,585.0601799674483,60.23802038138724,high,residential,12.0
10846.006968800217,7049.904529720141,1357891.8121380294,774.4057004623181,59.907978448489885,high,residential,9.0
2312.847136783123,1503.35063890903,289562.4351707474,165.13745677787728,51.027181188853234,high,residential,9.0
8843.543383463053,5748.303199250985,1107188.5888729345,631.4296522342345,76.09408141920204,high,commercial,40.0
3473.076768470911,2257.499899506092,434820.16196373006,247.97793836791524,59.83736486991605,high,commercial,10.5
3141.182035563624,2041.7683231163558,393267.8061886539,224.28062986938934,46.005415206005914,high,residential,3.0
3416.0904198391527,2220.4587728954493,427685.619598664,243.9091088571181,53.26826627496819,high,residential,9.0
1219.6213461148575,792.7538749746574,152693.41468820072,87.08105439668087,47.35092888240346,high,residential,9.0
3126.5126029273792,2032.2331919027965,391431.23144526966,223.2332312932373,59.172877038065465,high,commercial,10.5
2725.2289136441877,1771.3987938687221,341191.55913179496,194.58154617286266,51.969925890731325,high,residential,9.0
7655.638516944695,4976.165036014052,958465.9947897561,546.613156828598,57.90579735738316,high,residential,9.0
1683.56888131081,1094.3197728520265,210778.4372330363,120.2069427540006,57.423548605001415,high,commercial,14.0
1129.7354640677609,734.3280516440445,141439.9364625585,80.6631957645971,46.9112411098787,high,residential,9.0
15492.813826244874,10070.328987059169,1939659.9229701527,1106.188054069878,61.95749869582441,high,residential,9.0
1013.4250231496399,658.7262650472659,126878.1723180946,72.35862167300935,46.28729828547087,high,residential,9.0
3570.110322275409,2320.571709479016,446968.5100694255,254.9061412925934,60.01154929286545,high,commercial,10.5
4332.176378929128,2815.9146463039333,542377.1947231538,309.3177141506146,61.234568985537706,high,commercial,10.5
1116.7055167076514,725.8585858599735,139808.62100390362,79.73285655852624,46.844617863768775,high,residential,9.0
2764.02477279831,1796.6161023189015,346048.6996114004,197.3515733883817,52.05114923194121,high,residential,9.0
2674.17945005433,1738.2166425353146,334800.2993048271,190.93661069354292,51.86126910330188,high,residential,9.0
4888.245815746443,3177.3597802351883,611995.6393181572,349.02111310314507,55.32754104036459,high,residential,9.0
960.6300056033892,624.409503642203,120268.37368400174,68.5890535119862,45.9800729477599,high,residential,9.0
2715.0051501278786,1764.753347583121,339911.5705785912,193.85156870097055,51.94832886983749,high,residential,9.0
2639.2966958396705,1715.542852295786,330433.0693676561,188.44597946037428,51.78582338677526,high,residential,9.0
2706.8346211641096,1759.4425037566714,338888.6416414576,193.2681923281233,51.93101064356824,high,residential,9.0
1456.9373374399288,947.0092693359537,182404.75845155268,104.0254337449205,48.372164227850014,high,residential,9.0
1077.2953625150806,700.2419856348024,134874.57238609152,76.91896863178799,46.63827853476919,high,residential,9.0
12430.482763630856,8079.813796360057,1556264.0531406943,887.5373895061381,60.69170148361444,high,residential,9.0
1450.524222282107,942.8407444833696,181601.85314380622,103.56753684791269,48.34682362883813,high,residential,9.0
1282.5434557808794,833.6532462575716,160571.09886853772,91.57369768472707,47.639858159810764,high,residential,9.0
1306.1724747998833,849.0121086199241,163529.39048194504,93.26081139185327,47.74471522485257,high,residential,9.0
1149.921015368439,747.4486599894853,143967.1148899309,82.1044456217276,47.0129505926448,high,residential,9.0
1174.59274394195,763.4852835622675,147055.95102267852,83.86600886823356,47.13486919975363,high,residential,9.0
1313.8019081636173,853.9712403063513,164484.575659833,93.80555349880277,47.77816743560063,high,residential,9.0
1332.9984257961194,866.4489767674776,166887.9296489759,95.17618627881096,47.86148577235424,high,residential,9.0
10520.10599794848,6838.068898666512,1317089.8597549614,751.1363470182546,59.732625561810714,high,residential,9.0
7272.865028557561,4727.362268562415,910543.7513982883,519.2831014224439,64.50979489316273,high,commercial,10.5
10324.395996774434,6710.857397903383,1292587.47754995,737.1626384467365,66.72485629206226,high,commercial,10.5
1144.882260093931,744.1734690610552,143336.27585854326,81.74467812212723,52.82419665795918,high,commercial,10.5
978.3214958963216,635.9089723326091,122483.30217172977,69.85222722853749,46.084863353216434,high,residential,9.0
1685.5391134895503,1095.6004237682077,211025.10516817757,120.34761747741167,55.268055387221494,high,commercial,10.5
387.5977571917167,251.93854217461586,48526.2292756868,27.67450855592418,45.9866084112075,high,commercial,10.5
1636.9290899382331,1064.0039084598516,204939.25687783005,116.87685819742649,55.08313404153557,high,commercial,10.5
764.7282895573794,497.0733882122966,95741.98927655263,54.601656484417965,50.27538222156435,high,commercial,10.5
876.1972577743644,569.5282175533368,109697.61365377557,62.56054906674821,51.134704904010796,high,commercial,10.5
1860.7403656284482,1209.4812376584914,232959.84543158507,132.85699984963296,55.89297642308053,high,commercial,10.5
712.4447068170934,463.08905943111074,89196.22094757203,50.868604806400334,49.828204892726085,high,commercial,10.5
1173.2112711295856,762.5873262342307,146882.99422613607,83.7673716071654,47.128110385530256,high,residential,9.0
5372.437396738514,3492.084307880034,672615.1636487809,383.59242782889976,55.870339513523604,high,residential,9.0
9879.518043133688,6421.686728036898,1236889.9169281246,705.3983196241095,59.37153464028052,high,residential,9.0
1825.3926941381103,1186.5052511897718,228534.4090628876,130.3331734885648,49.66734329706147,high,residential,9.0
1195.8372849016691,777.294235186085,149715.71219605944,85.3828706654127,50.145161658724,high,commercial,7.0
2066.571710537705,1343.2716118495082,258729.3935000717,147.5533731130909,61.83655272790259,high,commercial,21.0
2551.9133933481025,1658.7437056762667,319492.9075816447,182.20680519381202,48.95289420870653,high,residential,6.0
21963.667165709292,14276.38365771104,2749793.9006156363,1568.2074615210975,63.9635779276925,high,residential,9.0
1148.0524648802366,746.2341021721538,143733.1772375031,81.97103097854803,47.00361070046817,high,residential,9.0
1260.3952706282093,819.2569259083361,157798.20379673468,89.9923156252778,53.431479269154835,high,commercial,10.5
584.4892241390162,379.91799569036056,73176.5279170824,41.7325738711121,48.57842078248088,high,commercial,10.5
1671.330176926223,1086.364615002045,209246.18333325413,119.33309835495484,59.08461598743654,high,commercial,17.5
4996.555935008995,3247.761357755847,625555.7840369819,356.7544636362908,55.45348876942593,high,residential,9.0
1105.1176439985907,718.3264685990839,138357.84953409035,78.90548158929172,46.7847123004846,high,residential,9.0
5578.601539586749,3626.091000731387,698426.3771520895,398.31256288983667,62.83312512323443,high,commercial,10.5
2511.1473429211246,1632.245772898731,314389.10428820807,179.2961061755651,51.4998323202597,high,residential,9.0
8573.97588744115,5573.084326836747,1073439.4407560595,612.1825130631807,64.39166956081195,high,residential,21.0
3106.5952803547016,2019.2869322305562,388937.63455574616,221.81113298714206,59.1324808016085,high,commercial,10.5
1463.5613908155933,951.3149040301357,183234.0726745524,104.49839164629722,54.37573767303382,high,commercial,10.5
3112.109863812068,2022.8714114778443,389628.0460358098,222.20487465422235,59.14369131894055,high,commercial,10.5
3451.412362571034,2243.418035671172,432107.8347938416,246.43109818292788,59.79781113608159,high,commercial,10.5
1648.813460210818,1071.7287491370316,206427.14907004248,117.72540311464523,55.128846303010135,high,commercial,10.5
1718.1650794261514,1116.8073016269984,215109.79109322318,122.67711386046518,55.389205042862834,high,commercial,10.5
6464.542154319308,4201.95240030755,809343.8337097401,461.5687883646648,75.56398248579528,high,commercial,48.0
8779.160852459816,5706.45455409888,1099128.0637464519,626.8327347546015,65.69982534339135,high,commercial,10.5
4677.485521849469,3040.3655892021548,585608.9996792778,333.97281251709217,61.719375359562214,high,commercial,10.5
867.0079545279684,563.5551704431795,108547.13683097533,61.90443213470523,66.95867204758879,high,commercial,80.0
9818.410609595787,6381.966896237262,1229239.4254707082,701.035244345945,66.40715522705491,high,commercial,10.5
3071.308489171078,1996.3505179612007,384519.8202428196,219.29165348448004,52.656889513457685,high,residential,9.0
2033.6782660646759,1321.8908729420393,254611.21995920734,145.20477874273595,50.288116511880574,high,residential,9.0
3623.163872112268,2355.0565168729745,453610.67627267085,258.6941686783042,60.10479469232827,high,commercial,10.5
10189.50621039213,6623.179036754885,1275699.627763713,727.5314977136455,66.64170918402745,high,commercial,10.5
380.3179289536643,247.2066538198818,47614.8137486031,27.154728280828348,45.86703259573793,high,commercial,10.5
494.8040614972268,321.62263997319747,61948.17923799017,35.329046619425796,47.52711652681913,high,commercial,10.5
1306.7990482047808,849.4193813331075,163607.83583963857,93.30554877934588,53.65991080473045,high,commercial,10.5
479.74421638393505,311.8337406495578,60062.72586973847,34.253772563511845,47.33208102935726,high,commercial,10.5
887.278082532008,576.7307536458053,111084.90404123557,63.35172077471665,45.52398470826963,high,residential,9.0
893.4186555103228,580.7221260817098,111853.68777824362,63.79015813993234,45.56358450014963,high,residential,9.0
938.3012110195898,609.8957871627334,117472.86678201723,66.99477592578442,45.84502791664241,high,residential,9.0
952.6936831033688,619.2508940171897,119274.76678588107,68.02239949798798,45.932436499704046,high,residential,9.0
998.6589294197497,649.1283041228373,125029.49585764618,71.30432148761561,46.20301225682611,high,residential,9.0
944.8816774502267,614.1730903426474,118296.72403306962,67.46462171605961,45.88515750559577,high,residential,9.0
828.4713994801126,538.5064096620732,103722.46054983162,59.15291925156898,57.26329486230287,high,commercial,24.5
